surface,count,year_counts,context_count,first_context
triggered,3,"{""2020"": 1, ""2022"": 1, ""2024"": 1}",2,"In people who score high in a test of neuroticism, a personality dimension associated with self-consciousness and anxiety, eye contact triggered more activity associated with avoidance, according to the Finnish researcher Jari Hietanen and colleagues."
activity,3,"{""2020"": 1, ""2025"": 2}",2,"In people who score high in a test of neuroticism, a personality dimension associated with self-consciousness and anxiety, eye contact triggered more activity associated with avoidance, according to the Finnish researcher Jari Hietanen and colleagues."
centre,3,"{""2020"": 2, ""2022"": 1}",3,Our findings indicate that people do not only feel different when they are the centre of attention but that their brain reactions also differ.
translation,3,"{""2020"": 1, ""2021"": 1, ""2026"": 1}",1,"We are living through a golden age of translation too, so you can go anywhere in time or place."
saw,3,"{""2020"": 1, ""2021"": 1, ""2026"": 1}",1,The pioneers of wireless saw it as a gift to all the people.
church,3,"{""2020"": 3}",3,It turned from God and the authority of the Roman Catholic Church and instead favoured a more humanistic approach to being.
earth,3,"{""2020"": 2, ""2023"": 1}",3,"Before each of their revelations, many thinkers at the time had sustained more ancient ways of thinking, including the geocentric view that the Earth was at the centre of our universe."
upheld,3,"{""2020"": 1, ""2021"": 2}",2,"Copernicus theorized in 1543 that all of the planets that we knew of revolved not around the Earth, but the Sun, a system that was later upheld by Galileo at his own expense."
battle,3,"{""2020"": 1, ""2022"": 2}",1,"It was also, and this is unknown even to many people well read about the period, a battle between those who made codes and those who broke them."
reasoning,3,"{""2020"": 1, ""2024"": 1, ""2026"": 1}",2,"As many took on the duty of trying to integrate reasoning and scientific philosophies into the world, the Renaissance was over and it was time for a new era - the Age of Reason."
progress,3,"{""2020"": 1, ""2023"": 1, ""2026"": 1}",2,"Scientific method, reductionism and the questioning of Church ideals was to be encouraged, as were ideas of liberty, tolerance and progress."
responsibility,3,"{""2020"": 1, ""2021"": 1, ""2025"": 1}",3,"It was the purpose and responsibility of great minds to go forth and seek out the truth, which they believed to be founded in knowledge."
inevitable,3,"{""2021"": 1, ""2022"": 1, ""2025"": 1}",3,"This is not to say that there is no point in getting a degree, but rather stress that a degree is not for everyone, that the switch from classroom to lecture hall is not an inevitable one and that other options are available."
function,3,"{""2021"": 1, ""2023"": 2}",3,The function of the milk cow journals is to boost citation counts for certain authors. help scholars publish articles at low cost. instruct first-time contributors in citation. increase the readership of new journals.
muscle,3,"{""2021"": 3}",3,One study found that muscle loss and the accumulation of body fat around the abdomen are associated with a decline in fluid intelligence.
lifestyle,3,"{""2021"": 2, ""2023"": 1}",3,"AI can also be used to identify the lifestyle choices of customers regarding their hobbies, favourite celebrities, and fashions to provide unique content in marketing messages put out through social media."
resulted,3,"{""2021"": 2, ""2023"": 1}",2,The advent of electronic publishing and authors' need to find outlets for their papers resulted in thousands of new journals.
immune,3,"{""2021"": 1, ""2022"": 2}",1,"For women, the association may be attributable to changes in immunity that resulted from excess abdominal fat; in men, the immune system did not appear to be involved."
mass,3,"{""2021"": 2, ""2022"": 1}",2,"Meanwhile, there are steps you can take to help reduce abdominal fat and maintain lean muscle mass as you age in order to protect both your physical and mental wellbeing The two highly recommended lifestyle approaches are maintaining or increasing your level of aerobic exercise and following a Mediterranean-style diet that is high in fiber and eliminates highly processed foods."
maintaining,3,"{""2021"": 2, ""2022"": 1}",1,"Meanwhile, there are steps you can take to help reduce abdominal fat and maintain lean muscle mass as you age in order to protect both your physical and mental wellbeing The two highly recommended lifestyle approaches are maintaining or increasing your level of aerobic exercise and following a Mediterranean-style diet that is high in fiber and eliminates highly processed foods."
accidentally,3,"{""2021"": 1, ""2025"": 1, ""2026"": 1}",0,
lived,3,"{""2021"": 1, ""2026"": 2}",2,"Looking at these DNA sequences, we get a biological testimony to the environment these animals lived in and the experiences they survived."
isolated,3,"{""2021"": 1, ""2025"": 2}",0,
coordination,3,"{""2021"": 1, ""2024"": 1, ""2026"": 1}",0,
space,3,"{""2021"": 1, ""2023"": 1, ""2024"": 1}",2,"Another issue is that while climate change is well integrated into some subjects and at some ages—such as earth and space sciences in high schools—it is not as well represented in curricula for younger children and in subjects that are more widely taught, such as biology and chemistry."
fares,3,"{""2021"": 3}",0,
burden,3,"{""2021"": 2, ""2022"": 1}",2,"It has become a grimly reliable annual ritual: every January the cost of travelling by train rises, imposing a significant extra burden on those who have no option but to use the rail network to get to work or otherwise."
cent,3,"{""2021"": 1, ""2022"": 2}",2,"Today, 28 per cent of graduates in the UK are in non-graduate roles, a percentage which is double the average among the OECD countries."
goes,3,"{""2021"": 1, ""2022"": 1, ""2024"": 1}",2,"Why, the argument goes, should a car-driving pensioner from Lincolnshire have to subsidise the daily commute of a stockbroker from Surrey?"
south,3,"{""2021"": 1, ""2025"": 1, ""2026"": 1}",2,"Equally, there is a sense that the travails of commuters in the South East, many of whom will face among the biggest rises, have received too much attention compared to those who must endure the relatively poor infrastructure of the Midlands and the North."
east,3,"{""2021"": 1, ""2023"": 1, ""2026"": 1}",2,"Equally, there is a sense that the travails of commuters in the South East, many of whom will face among the biggest rises, have received too much attention compared to those who must endure the relatively poor infrastructure of the Midlands and the North."
relatively,3,"{""2021"": 2, ""2025"": 1}",2,"Equally, there is a sense that the travails of commuters in the South East, many of whom will face among the biggest rises, have received too much attention compared to those who must endure the relatively poor infrastructure of the Midlands and the North."
infrastructure,3,"{""2021"": 3}",1,"Equally, there is a sense that the travails of commuters in the South East, many of whom will face among the biggest rises, have received too much attention compared to those who must endure the relatively poor infrastructure of the Midlands and the North."
months,3,"{""2021"": 1, ""2023"": 1, ""2024"": 1}",3,"However, over the past 12 months, those commuters have also experienced some of the worst rail strikes in years."
worst,3,"{""2021"": 2, ""2023"": 1}",2,"However, over the past 12 months, those commuters have also experienced some of the worst rail strikes in years."
improvements,3,"{""2021"": 1, ""2024"": 1, ""2026"": 1}",1,"It is all very well train operators trumpeting the improvements they are making to the network, but passengers should be able to expect a basic level of service for the substantial sums they are now paying to travel."
introduce,3,"{""2021"": 1, ""2025"": 1, ""2026"": 1}",1,"The Government has pledged to change the law to introduce a minimum service requirement so that, even when strikes occur, services can continue to operate."
willing,3,"{""2021"": 1, ""2022"": 1, ""2023"": 1}",2,"Yes, more investment is needed, but passengers will not be willing to pay more indefinitely if they must also endure cramped, unreliable services, interrupted by regular chaos when timetables are changed, or planned maintenance is managed incompetently."
pay,3,"{""2021"": 1, ""2022"": 1, ""2025"": 1}",3,"Yes, more investment is needed, but passengers will not be willing to pay more indefinitely if they must also endure cramped, unreliable services, interrupted by regular chaos when timetables are changed, or planned maintenance is managed incompetently."
